SongID,Lyrics
s1001,"




开了灯 眼前的模样

偌大的房 寂寞的床

关了灯 全都一个样

心里的伤 无法分享

生命 随年月流去 随白发老去

随着你离去 快乐渺无音讯

随往事淡去 随梦境睡去

随麻痹的心逐渐远去

我好想你 好想你

却不露痕迹

我还踮着脚思念

我还任记忆盘旋

我还闭着眼流泪

我还装作无所谓

我好想你 好想你

却欺骗自己

开了灯 眼前的模样

偌大的房 寂寞的床

关了灯 全都一个样

心里的伤 无法分享

生命 随年月流去 随白发老去

随着你离去 快乐渺无音讯

随往事淡去 随梦境睡去

随麻痹的心逐渐远去

我好想你 好想你

却不露痕迹

我还踮着脚思念

我还任记忆盘旋

我还闭着眼流泪

我还装作无所谓

我好想你 好想你

却欺骗自己

我好想你 好想你

就当作秘密

我好想你

好想你

就深藏在

心

"
s1002,"





这是一首简单的小情歌

唱着人们心肠的曲折

我想我很快乐

当有你的温热

脚边的空气转了

这是一首简单的小情歌

唱着我们心头的白鸽

我想我很适合

当一个歌颂者

青春在风中飘着

你知道

就算大雨让整座城市颠倒

我会给你怀抱

受不了看见你背影来到

写下我度秒如年难捱的离骚

就算整个世界被寂寞绑票

我也不会奔跑

逃不了最后谁也都苍老

写下我时间和琴声交错的城堡

这是一首简单的小情歌

唱着我们心头的白鸽

我想我很适合

当一个歌颂者

青春在风中飘着

你知道

就算大雨让整座城市颠倒

我会给你怀抱

受不了看见你背影来到

写下我度秒如年难捱的离骚

就算整个世界被寂寞绑票

我也不会奔跑

逃不了最后谁也都苍老

写下我时间和琴声交错的城堡

你知道

就算大雨让整座城市颠倒

我会给你怀抱

受不了看见你背影来到

写下我度秒如年难捱的离骚

就算整个世界被寂寞绑票

我也不会奔跑

最后谁也都苍老

写下我时间和琴声交错的城堡

"
s1003,"




只一年的情节

像大雨匆匆打击过的屋檐

还凌乱的房间

像吉他用力刷错几个和弦

时间过了几年

我想我们都忘了彼此的脸

难道这叫有缘

我没想过 我们会再遇见

故事已经 翻了几页

忽然之间 你忽略的

我忽略的所有细节

当初的猜疑好奇

爱恨痴嗔却已走远

忽然之间 你发现的

我发现的所有改变

当初的微笑眼泪

喜怒哀乐都已抛在昨天

那一年的蜕变

像手术拿掉塞住心上的茧

还疼痛的感觉

像伤口总得需要时间复原

掌管命运的神

多想问你是不是打了个盹

难道这叫缘份

我没想过 再遇见的时刻

所有回忆 青丝成雪

忽然之间 你忽略的

我忽略的所有细节

当初的猜疑好奇

爱恨痴嗔却已希微

忽然之间 你发现的

我发现的所有改变

当初的微笑眼泪

喜怒哀乐都已云烟

而你 在离开我之后

全没有改变

而我 在离开你之后

就一直往前

转眼之间 你的世界

一步一步越离越远

转身之前 看到你

却还依稀觉得有点可怜

忽然之间 你散尽的

我散尽的全都不见

当初的我的疯狂

你的背叛像个笑点

忽然之间 你经历的

我经历的所有谎言

当初的我的退让

你的亏欠都不起眼

而你 在离开我之后

还停在原点

而我 在离开你之后

不断往前飞

转眼之间 我的世界

一步一步越走越远

一念之间

想对你伤害我的一切

说声

谢谢

谢谢

谢谢

谢谢

再遇见

"
s1004,"





这是一首简单的小情歌

唱着人们心肠的曲折

我想我很快乐

当有你的温热

脚边的空气转了

这是一首简单的小情歌

唱着我们心头的白鸽

我想我很适合

当一个歌颂者

青春在风中飘着

你知道

就算大雨让整座城市颠倒

我会给你怀抱

受不了看见你背影来到

写下我度秒如年难捱的离骚

就算整个世界被寂寞绑票

我也不会奔跑

逃不了最后谁也都苍老

写下我时间和琴声交错的城堡

这是一首简单的小情歌

唱着我们心头的白鸽

我想我很适合

当一个歌颂者

青春在风中飘着

你知道

就算大雨让整座城市颠倒

我会给你怀抱

受不了看见你背影来到

写下我度秒如年难捱的离骚

就算整个世界被寂寞绑票

我也不会奔跑

逃不了最后谁也都苍老

写下我时间和琴声交错的城堡

你知道

就算大雨让整座城市颠倒

我会给你怀抱

受不了看见你背影来到

写下我度秒如年难捱的离骚

就算整个世界被寂寞绑票

我也不会奔跑

最后谁也都苍老

写下我时间和琴声交错的城堡

"
s1005,"




开了灯 眼前的模样

偌大的房 寂寞的床

关了灯 全都一个样

心里的伤 无法分享

生命 随年月流去

随白发老去

随着你离去

快乐渺无音讯

随往事淡去

随梦境睡去

随麻痹的心逐渐远去

我好想你 好想你

却不露痕迹

我还踮着脚思念

我还任记忆盘旋

我还闭着眼流泪

我还装作无所谓

我好想你 好想你

却欺骗自己

开了灯 眼前的模样

偌大的房 寂寞的床

关了灯 全都一个样

心里的伤 无法分享

生命 随年月流去

随白发老去

随着你离去

快乐渺无音讯

随往事淡去

随梦境睡去

随麻痹的心逐渐远去

我好想你 好想你

却不露痕迹

我还踮着脚思念

我还任记忆盘旋

我还闭着眼流泪

我还装作无所谓

我好想你 好想你

却欺骗自己

我好想你 好想你

就当作秘密

我好想你

好想你

就深藏在

心

"
s1006,"




又搁睏袂去 犹原搁想到你

亲像你在我的身边

情愿不识你 乎两人的代志

随一切渐渐地过去

想起当初时 你牵着我的手

讲永远袂放未记

就是放未去 来乎你留在阮的心

每日相见 为你伤害自己

若不是为了你 我哪会这么忧愁

来乎人看不起 来为你睏袂去

若不是因为你 我早就放咧乎去

因为你不值我 将烧酒饮下去

我想不开 我爱上你

又搁睏袂去 犹原搁想到你

亲像你在我的身边

情愿不识你 乎两人的代志

随一切渐渐地过去

想起当初时 你牵着我的手

讲永远袂放未记

就是放未去 来乎你留在阮的心

每日相见 为你伤害自己

若不是为了你 我哪会这么忧愁

来乎人看不起 来为你睏袂去

若不是因为你 我早就放咧乎去

因为你不值我 将烧酒饮下去

若不是为了你 我哪会这么忧愁

来乎人看不起 来为你睏袂去

若不是因为你 我早就放咧乎去

因为你不值我 将烧酒饮下去

我想不开 我爱上你

"
s1007,"

这是一首简单的小情歌

唱着人们心肠的曲折

我想我很快乐

当有你的温热

脚边的空气转了

这是一首简单的小情歌

唱着我们心头的白鸽

我想我很适合

当一个歌颂者

青春在风中飘着

你知道就算大雨让这座城市颠倒

我会给你怀抱

受不了看见你背影来到

写下我度秒如年难捱的离骚

就算整个世界被寂寞绑票

我也不会奔跑

逃不了最后谁也都苍老

写下我时间和琴声交错的城堡

亲爱的，小情歌，为你独唱

这是一首简单的小情歌

唱着我们心头的白鸽

我想我很适合

当一个歌颂者

青春在风中飘着

你知道就算大雨让这座城市颠倒

我会给你怀抱

受不了看见你背影来到

写下我度秒如年难捱的离骚

就算整个世界被寂寞绑票

我也不会奔跑

逃不了最后谁也都苍老

写下我时间和琴声交错的城堡

你知道就算大雨让这座城市颠倒

我会给你怀抱

受不了看见你背影来到

写下我度秒如年难捱的离骚

就算整个世界被寂寞绑票

我也不会奔跑

最后谁也都苍老

写下我时间和琴声交错的城堡...哒哒~

"
s1008,"


几点钟 结束梦 他按下闹钟

如往常 开始了一天生活

忙工作 忙收获 早餐吃什么

他和他 维持齿轮的脉搏

汗水在他的身上化成了彩虹

步伐节奏延续生命的河流

默默在岗位战斗的

每个小小英雄

富有和贫穷 卑微和伟大相同

他从不害怕自己被人群淹没

中午吃便当是他最大享受

几点钟 也许是 月出的时候

如往常 结束了一天工作

他心中 幻想着 晚餐吃什么

家里的 让他不怕往前冲

疲累他的身上化成了笑容

步伐节奏开始不那么沉重

轻轻旋转着夏天

地面闷热的晚风

平凡或特别 笨拙或聪明相同

他从不担心自己被世界折磨

甜蜜的负荷是他最大依托

疲累他的身上化成了笑容

步伐节奏开始不那么沉重

轻轻旋转着夏天

地面闷热的晚风

平凡或特别 笨拙或聪明相同

他从不担心自己被世界折磨

甜蜜的负荷是他最大依托

带着笑容的睡意化成了彩虹

在他梦中一口气走上了星空

喧嚣亮起整个夏天渴望的挥霍

清淡与浓烈 好与坏他都尝过

他从不介意自己被命运作弄

按下了闹钟开启另一个梦

"
s1009,"


千江水 千江月 千里帆 千重山

千里江山 我最水

万里月 万里城 万里愁 万里烟

万里风霜 我最妖娇

什么款ㄟ杀气 什么款ㄟ角色

什么款ㄟ枭雄 迫阮策马坠风尘

什么款ㄟ爱情 什么款ㄟ坠落

什么款ㄟ温柔 后阮日夜拢想你

很久以前 狼主的传说 如今狼烟再起

很久以前 狼主的传说 如今狼烟再起

啊 追 追 追

追 著你ㄟ心 追 著你ㄟ人

追 著你ㄟ情 追 著你ㄟ无讲理

啊 烦 烦 烦

烦过这世人 心肝如葱葱

找无酒来浇

咽气啦 搁那么大声对我说话

啊 乱 乱 乱

女人ㄟ心 豆腐做ㄟ

为你破碎 任由针底搓

千江水 千江月 千里帆 千重山

千里江山 我最水

万里月 万里城 万里愁 万里烟

万里风霜 我最妖娇

什么款ㄟ杀气 什么款ㄟ角色

什么款ㄟ枭雄 迫阮策马坠风尘

什么款ㄟ爱情 什么款ㄟ坠落

什么款ㄟ温柔 后阮日夜拢想你

很久以前 狼主的传说 如今狼烟再起

很久以前 狼主的传说 如今狼烟再起

啊 追 追 追

追 著你ㄟ心 追 著你ㄟ人

追 著你ㄟ情 追 著你ㄟ无讲理

啊 烦 烦 烦

烦过这世人 心肝如葱葱

找无酒来浇

咽气啦 搁那么大声对我说话

啊 乱 乱 乱

女人ㄟ心 豆腐做ㄟ

为你破碎 任由针底搓

啊 追 追 追

追 著你ㄟ心 追 著你ㄟ人

追 著你ㄟ情 追 著你ㄟ无讲理

啊 烦 烦 烦

烦过这世人 心肝如葱葱

找无酒来浇

咽气啦 搁那么大声对我说话

啊 乱 乱 乱

女人ㄟ心 豆腐做ㄟ

为你破碎 任由针底搓

"
s1010,"

每次你总说带我走

某个角落就你和我

这次你却说要我走

交叉路口各自生活

像土壤离开花的迷惑

像天空离弃雨的汹涌

在你的身后 计算的步伐

每个背影每个场景

都有 发过的梦

带我走

到遥远的以后

带走我

一个人自转的寂寞

带我走

就算我的爱 你的自由

都将成为泡沫

我不怕 带我走

带我走

到遥远的以后

带走我

一个人自转的寂寞

带我走

就算我的爱 你的自由

都将成为泡沫

带我走

"
